i,Process10,Process20,Process30
796,17,25,41
797,17,25,41
798,17,25,41
799,17,25,41
800,17,25,41
801,17,25,41
802,17,25,41
803,17,25,41
804,17,25,41
805,17,25,41
806,17,25,41
807,17,25,41
808,17,25,41
809,17,25,41
810,17,26,41
811,17,26,41
812,17,26,41
813,17,26,41
814,17,26,41
815,17,26,41
816,17,26,41
817,17,26,41
818,17,26,41
819,17,26,41
820,17,26,41
821,17,26,41
822,17,26,41
823,17,26,41
824,17,26,41
825,17,28,43
826,17,28,43
827,17,28,43
828,17,28,43
829,17,28,43
830,17,28,43
831,17,28,43
832,17,29,43
833,17,29,43
834,17,29,43
835,17,29,43
836,17,29,43
837,17,29,43
838,17,29,43
839,17,29,43
840,17,29,43
841,17,29,43
842,17,29,43
843,17,29,43
844,17,29,43
845,17,29,43
846,17,29,43
847,17,30,44
848,17,30,44
849,17,30,44
850,17,30,44
851,17,30,44
852,17,30,44
853,17,30,44
854,17,31,44
855,17,31,44
856,17,31,44
857,17,31,44
858,17,31,44
859,17,31,44
860,17,31,44
861,17,31,44
862,17,31,44
863,17,31,44
864,17,31,44
865,17,31,44
866,17,31,44
867,17,31,44
868,17,31,44
869,17,31,44
870,17,31,44
871,17,31,44
872,17,31,44
873,17,31,44
874,17,31,44
875,17,31,44
876,17,31,44
877,17,31,44
878,17,31,44
879,17,31,44
880,17,31,44
881,17,31,44
882,17,31,44
883,17,31,44
884,17,33,45
885,17,33,45
886,17,33,45
887,17,33,45
888,17,33,45
889,17,33,45
890,17,33,45
891,17,33,46
892,17,33,46
893,17,33,46
894,17,33,46
895,17,33,46
896,17,33,46
897,17,33,46
898,17,33,46
899,17,33,46
900,17,33,46
901,17,33,46
902,17,33,46
903,17,33,46
904,17,33,46
905,17,33,46
906,17,33,46
907,17,33,46
908,17,33,46
909,17,33,46
910,17,33,46
911,17,33,46
912,17,33,46
913,17,33,46
914,17,33,46
915,17,33,46
916,17,33,46
917,17,33,46
918,17,33,46
919,17,33,46
920,17,33,46
921,17,33,46
922,17,33,46
923,17,33,46
924,17,33,46
925,17,33,46
926,17,33,46
927,17,33,46
928,17,33,46
929,17,33,46
930,17,33,46
931,17,33,46
932,17,33,46
933,17,33,46
934,17,33,46
935,17,33,46
936,17,33,46
937,17,33,46
938,17,33,46
939,17,33,46
940,17,33,46
941,17,33,46
942,17,33,46
